Table 1
,歲入來源別-罰款及賠償收入(百萬元),歲出政事別-社區發展及環境保護支出(百萬元),歲出政事別結構比-社區發展及環境保護支出(％),,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,490.92,458.69,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,285.21,197.34,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,795.6,991.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,270.99,553.59,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,360.37,367.3,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,28.72,524,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,337.38,920.17,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,411.38,1352.45,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,56.79,1009.31,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,98.89,1185.36,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,6.57,100.52,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
總計,28492.92,74588.68,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣地區,28433.98,73427.62,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,5203.66,13938.94,7.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,4100.29,13511.04,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,3481.91,7263.71,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,4018.47,10251.27,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,1840.76,3638.51,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,3348.95,12184.53,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,426.8,1359.62,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,736.81,945.91,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,542.63,1619.75,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,962.89,460.22,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,404.19,629.74,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,488.63,625.54,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,342.48,371.82,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,899.79,940.93,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,309.13,566.62,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,415.57,406.74,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,39.71,584.9,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,358.33,1582.78,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,455.36,1466.94,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,57.59,1078.14,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,52.96,1036.6,7.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,5.98,124.47,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
