Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,歲出政事別結構比-社區發展及環境保護支出(％),year,環保罰鍰佔比(%),,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,6.36,2021,4.900,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,5.72,2021,3.166,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,2.95,2021,8.318,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,5.16,2021,12.499,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,1.38,2021,9.026,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,1.73,2021,1.011,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,0.86,2021,5.721,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,1.03,2021,6.300,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,1.62,2021,6.279,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,2.37,2021,2.833,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,1.78,2021,3.287,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,6.46,2021,7.177,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,4.32,2021,3.551,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,6.48,2021,3.280,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,5.55,2021,6.126,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,6.82,2021,1.410,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,2.47,2021,1.315,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,7.55,2022,5.702,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,7.9,2022,2.129,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,5.41,2022,6.745,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,6.02,2022,2.633,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,4.01,2022,7.075,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,7.54,2022,3.601,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,5.63,2022,7.917,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,2.98,2022,8.242,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,4.59,2022,9.730,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,1.1,2022,7.230,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,1.74,2022,3.755,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,1.25,2022,5.977,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,0.65,2022,7.838,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,2.1,2022,7.596,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,2.7,2022,4.248,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,1.49,2022,3.464,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,4.48,2022,1.278,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,4.41,2022,2.379,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,5.64,2022,5.796,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,6.43,2022,6.540,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,8.4,2022,0.689,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,1.7,2022,6.606,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,7.39,2023,4.908,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,7.3,2023,2.517,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,5.37,2023,5.520,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,6.53,2023,2.680,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,3.49,2023,6.556,,,,,,,,,,,,,,,,,,,,,,,,,
