"【改制後】縣市重要統計指標自選項目
            ，依 指標、期間、縣市"
""
"","","垃圾焚化量(公噸)","垃圾衛生掩埋量(公噸)","執行機關資源回收量(公噸)","一般廢棄物產生量(公噸)","一般廢棄物回收率(%)","地方環保單位歲出決算數(千元)"
"","嘉義縣","143,985","-","120,155","277,418","48.10","947,786"
"","屏東縣","94,109","23","198,970","352,341","58.87","1,968,220"
"","臺東縣","14,092","1,769","59,343","103,285","61.91","902,387"
"","花蓮縣","13,463","18,146","82,747","151,710","58.12","843,643"
"","澎湖縣","17,747","2","23,986","53,313","53.86","613,764"
"","基隆市","105,728","-","115,134","224,883","52.99","867,018"
"","新竹市","71,984","4,833","123,068","205,222","62.57","975,428"
"","嘉義市","57,560","-","78,421","144,607","59.36","1,001,010"
"","金門縣","6,247","947","16,672","28,892","73.70","552,226"
"","連江縣","2,627","-","2,434","6,693","58.96","106,486"
"2023","","","","","",""
"","總計","4,419,662","162,352","6,842,897","11,579,543","58.31","54,972,782"
"","臺灣地區","4,411,151","161,664","6,823,965","-","-","54,271,011"
"","新北市","674,677","6,293","1,083,185","1,868,648","63.56","9,481,893"
"","臺北市","294,274","-","647,708","989,727","70.27","7,671,900"
"","桃園市","458,328","94,323","732,760","1,288,007","60.14","6,664,286"
"","臺中市","621,792","-","949,329","1,685,646","59.59","5,537,468"
"","臺南市","373,078","5,988","603,509","1,038,517","63.50","3,252,770"
"","高雄市","634,025","-","948,500","1,641,098","61.37","4,962,651"
"","宜蘭縣","110,015","-","112,882","229,291","52.02","1,098,559"
"","新竹縣","44,595","546","163,398","277,480","61.32","1,135,048"
"","苗栗縣","118,104","2,159","103,274","237,548","49.40","1,272,118"
"","彰化縣","277,943","0","351,497","642,600","56.75","1,823,448"
"","南投縣","52,795","11","129,133","232,680","57.93","1,034,511"
"","雲林縣","85,385","27,198","152,891","299,640","54.28","1,426,635"
"","嘉義縣","132,653","-","122,477","282,058","48.11","1,093,744"
"","屏東縣","158,401","3","205,206","422,449","50.50","1,925,285"
"","臺東縣","59,574","15","59,438","104,459","61.44","909,450"
"","花蓮縣","9,003","20,813","85,699","155,525","58.78","961,915"
"","澎湖縣","11,267","3","24,039","53,195","53.74","543,846"
"","基隆市","100,921","-","116,591","220,917","54.32","1,358,853"
"","新竹市","120,100","4,312","143,941","274,441","54.67","1,046,760"
"","嘉義市","74,220","-","88,508","170,519","56.47","1,069,871"
"","金門縣","5,846","611","16,658","28,182","74.74","546,428"
"","連江縣","2,666","77","2,273","6,092","54.38","155,343"
"註解："
"------------------------------"
"指標項：垃圾焚化量(公噸)"
"單位：公噸"
"定義：一般廢棄物運送至垃圾焚化廠之處理量。88年以前為年度資料。"
"註記：執行機關一般廢棄物清理狀況(表號：11350103)"
"資料來源：環境部"
"------------------------------"
"指標項：執行機關資源回收量(公噸)"
"單位：公噸"
"定義：指環保單位或社區、學校、機關團體資源回收量之總和，包含巨大垃圾中可回收再利用之量。"
"註記：執行機關資源回收成果統計(表號：11350102)"
"資料來源：環境部"
"------------------------------"
"指標項：垃圾衛生掩埋量(公噸)"
"單位：公噸"
"定義：一般廢棄物運送至衛生掩埋場之處理量。88年以前為年度資料。"
"註記：執行機關一般廢棄物清理狀況(表號：11350103)"
"資料來源：環境部"
"------------------------------"
"指標項：地方環保單位歲出決算數(千元)"
"單位：千元"
"定義：107年(含)以前：環保局及鄉鎮市廢棄物清理單位之歲出公務決算數－「上級機關補助款及其他機關配合款」；108年起：環保局單位決算數總計－環保局對鄉鎮市公所清潔隊之補助＋鄉鎮市公所清潔隊決算總計"
"公式：107年(含)以前：環保局及鄉鎮市廢棄物清理單位之歲出公務決算數－「上級機關補助款及其他機關配合款」；108年起：環保局單位決算數總計－環保局對鄉鎮市公所清潔隊之補助＋鄉鎮市公所清潔隊決算總計"
"註記：各級環保單位歲出決算統計(表號：11390802)"
"資料來源：環境部"
"------------------------------"
"指標項：一般廢棄物產生量(公噸)"
"單位：公噸"
"定義：係指廢棄物清理法所定義事業廢棄物以外之常態性廢棄物（包含一般垃圾、資源垃圾及廚餘）產生量。107年起含事業員工生活垃圾及過去暫存垃圾之數量，111年起含非例行性排出垃圾。總計數值係指全國一般廢棄物產生量，非執行機關一般廢棄物產生量加總而得，兩者差異主要係資源垃圾之計算方式不同，全國資源垃圾係公告應回收廢物品及容器回收量加計執行機關「紙類」、「舊衣類」、「其他金屬製品」、「光碟片」、「行動電話」、「其他塑膠製品」、「其他玻璃製品」、「食用油」及「其他」等9項回收量而得。"
"資料來源：環境部"
"------------------------------"
"指標項：一般廢棄物回收率(%)"
"單位：％"
"定義：指一般廢棄物產生量中資源垃圾及廚餘回收之比率。總計數值係指全國一般廢棄物回收率，非執行機關一般廢棄物回收率平均而得，兩者差異主要係資源垃圾之計算方式不同，全國資源垃圾係公告應回收廢物品及容器回收量加計執行機關「紙類」、「舊衣類」、「其他金屬製品」、「光碟片」、「行動電話」、「其他塑膠製品」、「其他玻璃製品」、「食用油」及「其他」等9項回收量而得。"
"公式：一般廢棄物回收率=(資源垃圾回收量+廚餘回收量)/一般廢棄物產生量*100%"
"資料來源：環境部"
""
